"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,487721683,988167,6164703,2700,422745300.0,714435.0,58811680.0,58361,62570.0,790.9,0,0,,All
USA,81742919,2197,1006489,44,65073352.0,253.0,15663078.0,2122,244462.0,3010.0,982569573,2938487,334379423,North America
India,43024440,0,521159,0,42489004.0,0.0,14277.0,8944,30653.0,371.0,788556935,561808,1403606220,Asia
Brazil,29916334,0,659570,0,28679560.0,0.0,577204.0,8318,139024.0,3065.0,63776166,296374,215188013,South America
France,25445532,0,142134,0,23166746.0,0.0,2136652.0,1486,388334.0,2169.0,254106036,3878013,65524795,Europe
Germany,21178950,208653,129983,241,16546900.0,227200.0,4502067.0,2494,251382.0,1543.0,104701826,1242751,84250027,Europe
UK,21147425,35968,165379,192,19037114.0,41231.0,1944932.0,365,308693.0,2414.0,505005618,7371655,68506410,Europe
Russia,17842925,19277,368722,345,16838787.0,50496.0,635416.0,2300,122176.0,2525.0,273400000,1872047,146043329,Europe
Turkey,14846224,0,97977,0,14515495.0,0.0,232752.0,975,172796.0,1140.0,153504955,1786650,85917731,Asia
Italy,14642354,73195,159383,159,13205927.0,79977.0,1277044.0,468,242796.0,2643.0,200908095,3331414,60307153,Europe
S. Korea,13095631,320675,16230,375,,,,1315,255047.0,316.0,15804065,307796,51345948,Asia
Spain,11508309,0,102392,0,10875306.0,0.0,530611.0,492,245976.0,2189.0,471036328,10067829,46786284,Europe
Vietnam,9472254,0,42454,0,7268531.0,0.0,2161269.0,3635,95813.0,429.0,84217005,851863,98862150,Asia
Argentina,9035127,0,127997,0,8856717.0,0.0,50413.0,541,196770.0,2788.0,35371141,770324,45917233,South America
Netherlands,7859274,25467,21987,26,6376153.0,36453.0,1461134.0,148,456912.0,1278.0,21107399,1227115,17200832,Europe
Iran,7162220,2487,140204,46,6873642.0,5207.0,148374.0,1596,83415.0,1633.0,49358909,574857,85862918,Asia
Japan,6504873,52765,28010,97,6048083.0,39830.0,428780.0,627,51707.0,223.0,43265925,343918,125802882,Asia
Colombia,6084551,0,139607,0,5917586.0,0.0,27358.0,342,117403.0,2694.0,33899469,654098,51826308,South America
Indonesia,6012818,3332,155089,89,5750802.0,7871.0,106927.0,2771,21586.0,557.0,91960955,330136,278554917,Asia
Poland,5962931,4997,115173,133,5323067.0,7623.0,524691.0,308,157856.0,3049.0,35646332,943661,37774497,Europe
Mexico,5657077,2766,322948,103,4955801.0,2483.0,378328.0,4798,43089.0,2460.0,15557210,118496,131289160,North America
Ukraine,4964242,0,107918,0,,,,177,114709.0,2494.0,19521252,451080,43276687,Europe
Australia,4514213,60292,5994,32,3966973.0,0.0,541246.0,89,173527.0,230.0,66539750,2557791,26014535,Australia/Oceania
Malaysia,4183359,0,34939,0,3941829.0,0.0,206591.0,275,126434.0,1056.0,56113819,1695932,33087299,Asia
Israel,3904305,0,10485,0,3782095.0,0.0,111725.0,278,418647.0,1124.0,41373364,4436346,9326000,Asia
Austria,3831048,25893,15865,53,3455332.0,39463.0,359851.0,224,421189.0,1744.0,175617287,19307514,9095800,Europe
Czechia,3815526,7397,39673,13,3704276.0,3619.0,71577.0,87,355146.0,3693.0,54680988,5089660,10743545,Europe
Belgium,3807447,0,30747,0,3524069.0,5559.0,252631.0,163,326053.0,2633.0,32719965,2801997,11677374,Europe
South Africa,3717067,0,100020,0,3603348.0,0.0,13699.0,546,61328.0,1650.0,23809344,392833,60609361,Africa
Philippines,3678245,327,59249,124,3579681.0,1294.0,39315.0,289,32807.0,528.0,28914641,257895,112117927,Asia
Thailand,3628347,27560,25133,85,3356447.0,25077.0,246767.0,1496,51756.0,359.0,17270775,246357,70104692,Asia
Peru,3546696,0,212207,0,,,,477,105023.0,6284.0,28675909,849135,33770724,South America
Portugal,3534003,0,21545,0,,,,64,348350.0,2124.0,39970994,3939975,10144986,Europe
Switzerland,3481106,8177,13709,1,2803241.0,23792.0,664156.0,132,397172.0,1564.0,20289763,2314933,8764729,Europe
Canada,3472237,0,37565,0,3284362.0,0.0,150310.0,384,90617.0,980.0,59376958,1549591,38317822,North America
Chile,3470936,6511,56580,113,3021243.0,15345.0,393113.0,589,178899.0,2916.0,35500472,1829765,19401660,South America
Greece,3030429,21096,27510,56,2748738.0,19643.0,254181.0,355,293235.0,2662.0,74054450,7165762,10334484,Europe
Denmark,2911917,3702,5698,30,2837693.0,7788.0,68526.0,22,499669.0,978.0,126787166,21755998,5827688,Europe
Romania,2853570,2972,65015,14,2606660.0,0.0,181895.0,403,150074.0,3419.0,22094324,1161976,19014444,Europe
Sweden,2487852,0,18331,0,2432975.0,4336.0,36546.0,25,243696.0,1796.0,18417910,1804117,10208820,Europe
Iraq,2319550,341,25164,1,2282267.0,578.0,12119.0,49,55503.0,602.0,18336480,438759,41791736,Asia
Serbia,1976567,1915,15799,11,1923371.0,0.0,37397.0,42,227816.0,1821.0,9189697,1059191,8676145,Europe
Bangladesh,1951577,73,29122,0,1881304.0,884.0,41151.0,1283,11648.0,174.0,13824007,82510,167543584,Asia
Hungary,1851871,2654,45470,40,1706726.0,2794.0,99675.0,52,192549.0,4728.0,11115682,1155756,9617676,Europe
Slovakia,1710884,7334,19352,18,1589334.0,10977.0,102198.0,176,313105.0,3542.0,6875917,1258348,5464243,Europe
Jordan,1689314,0,14003,0,1668852.0,0.0,6459.0,276,162757.0,1349.0,16575546,1596976,10379336,Asia
Georgia,1648264,450,16745,6,1624993.0,1540.0,6526.0,0,414569.0,4212.0,16391421,4122752,3975845,Asia
Pakistan,1524793,244,30355,6,1485735.0,126.0,8703.0,439,6677.0,133.0,27472570,120309,228350567,Asia
Ireland,1459425,5243,6753,13,1296980.0,3288.0,155692.0,58,289929.0,1342.0,11818536,2347868,5033731,Europe
Norway,1404207,0,2518,0,,,,20,255543.0,458.0,11002430,2002267,5494986,Europe
Kazakhstan,1305135,21,13659,0,1289693.0,378.0,1783.0,528,68091.0,713.0,11575012,603891,19167379,Asia
Morocco,1163274,60,16060,0,1146563.0,31.0,651.0,293,30879.0,426.0,11237010,298289,37671562,Africa
Hong Kong,1157415,6646,7825,119,,,,115,152236.0,1029.0,36260319,4769343,7602791,Asia
Bulgaria,1137780,0,36512,0,917376.0,0.0,183892.0,214,165919.0,5324.0,9588895,1398317,6857454,Europe
Croatia,1097409,0,15563,0,1071968.0,0.0,9878.0,37,270216.0,3832.0,4672242,1150451,4061226,Europe
Lebanon,1091777,0,10297,0,1058414.0,0.0,23066.0,186,161213.0,1520.0,4795578,708120,6772271,Asia
Singapore,1090823,0,1263,0,1025578.0,0.0,63982.0,26,183938.0,213.0,23548306,3970789,5930385,Asia
Cuba,1090285,833,8510,0,1078101.0,902.0,3674.0,23,96361.0,752.0,12920253,1141911,11314588,North America
Tunisia,1035884,0,28323,0,,,,42,86082.0,2354.0,4521880,375767,12033741,Africa
Lithuania,1024839,2850,8876,4,956814.0,4663.0,59149.0,62,385826.0,3342.0,8067219,3037102,2656223,Europe
Nepal,978426,24,11951,0,965394.0,89.0,1081.0,100,32562.0,398.0,5546390,184584,30048133,Asia
Slovenia,968109,2721,6487,3,922820.0,3081.0,38802.0,46,465563.0,3120.0,2615040,1257572,2079435,Europe
Belarus,962707,1318,6819,9,928536.0,0.0,27352.0,0,101939.0,722.0,12855632,1361261,9443916,Europe
Bolivia,901943,191,21894,0,836511.0,1764.0,43538.0,220,75477.0,1832.0,2682016,224437,11949973,South America
UAE,891300,313,2302,0,867662.0,790.0,21336.0,0,88263.0,228.0,148127138,14668579,10098261,Asia
Uruguay,887028,0,7156,0,872762.0,0.0,7110.0,42,253823.0,2048.0,5995538,1715622,3494674,South America
Finland,883676,9541,3144,39,46000.0,0.0,834532.0,32,159058.0,566.0,10424683,1876396,5555695,Europe
Ecuador,859890,0,35421,0,,,,759,47484.0,1956.0,2470170,136406,18109004,South America
Costa Rica,837828,0,8298,0,811186.0,0.0,18344.0,57,161898.0,1603.0,4053111,783204,5175039,North America
Guatemala,827596,0,17300,0,800420.0,0.0,9876.0,5,44755.0,936.0,4231490,228830,18491866,North America
Latvia,798895,2005,5616,8,755605.0,10357.0,37674.0,26,431853.0,3036.0,7055712,3814055,1849924,Europe
Azerbaijan,791932,56,9692,1,781889.0,24.0,351.0,0,76900.0,941.0,6701673,650764,10298158,Asia
Panama,764243,0,8168,0,753552.0,0.0,2523.0,10,172403.0,1843.0,5696867,1285134,4432896,North America
Saudi Arabia,750814,107,9045,2,734283.0,242.0,7486.0,115,20998.0,253.0,41542574,1161809,35756816,Asia
Sri Lanka,661631,178,16477,4,637240.0,17.0,7914.0,0,30674.0,764.0,6368159,295240,21569449,Asia
New Zealand,659175,15300,299,21,557001.0,18469.0,101875.0,0,131780.0,60.0,6918940,1383207,5002100,Australia/Oceania
Paraguay,647950,0,18664,0,624673.0,0.0,4613.0,38,88944.0,2562.0,2584332,354750,7284935,South America
Kuwait,628978,0,2554,0,624538.0,0.0,1886.0,10,143589.0,583.0,7763313,1772277,4380417,Asia
Myanmar,611587,139,19430,0,589312.0,311.0,2845.0,0,11111.0,353.0,7656537,139098,55044360,Asia
Palestine,581075,0,5351,0,574674.0,0.0,1050.0,17,109480.0,1008.0,3078533,580025,5307584,Asia
Dominican Republic,578020,0,4375,0,573445.0,0.0,200.0,21,52370.0,396.0,3222385,291958,11037145,North America
Estonia,556304,1165,2459,8,480198.0,2492.0,73647.0,9,418876.0,1852.0,3243179,2441993,1328087,Europe
Bahrain,553750,0,1470,0,545100.0,0.0,7180.0,6,306898.0,815.0,9603290,5322314,1804345,Asia
Venezuela,520373,0,5682,0,513186.0,0.0,1505.0,230,18390.0,201.0,3359014,118711,28295772,South America
Moldova,513146,0,11428,0,498738.0,0.0,2980.0,61,127723.0,2844.0,3149854,784004,4017652,Europe
Egypt,505264,0,24417,0,434503.0,0.0,46344.0,122,4781.0,231.0,3693367,34945,105690718,Africa
Libya,501705,48,6415,2,489953.0,127.0,5337.0,96,71328.0,912.0,2472776,351556,7033810,Africa
Ethiopia,469704,0,7492,0,441083.0,0.0,21129.0,15,3917.0,62.0,4653297,38805,119913931,Africa
Mongolia,468335,112,2177,0,313256.0,0.0,152902.0,192,138968.0,646.0,4030048,1195823,3370104,Asia
Cyprus,426377,0,938,0,124370.0,0.0,301069.0,60,348732.0,767.0,9477138,7751315,1222649,Asia
Armenia,422519,21,8613,2,409987.0,108.0,3919.0,0,142125.0,2897.0,2975223,1000788,2972879,Asia
Honduras,421013,0,10880,0,131100.0,0.0,279033.0,105,41363.0,1069.0,1263329,124116,10178576,North America
Oman,388343,64,4250,0,382939.0,116.0,1154.0,17,72827.0,797.0,25000000,4688328,5332391,Asia
Bosnia and Herzegovina,375440,108,15713,3,192218.0,0.0,167509.0,0,115687.0,4842.0,1736364,535036,3245319,Europe
Qatar,361283,0,677,0,359445.0,0.0,1161.0,1,128671.0,241.0,3408699,1214008,2807805,Asia
Réunion,336945,0,709,0,322519.0,0.0,13717.0,10,371728.0,782.0,1603660,1769208,906428,Africa
Kenya,323402,0,5648,0,317633.0,0.0,121.0,1,5793.0,101.0,3511614,62898,55830589,Africa
Zambia,316850,103,3966,0,312136.0,137.0,748.0,0,16435.0,206.0,3357511,174155,19278834,Africa
North Macedonia,305717,0,9220,0,294662.0,0.0,1835.0,0,146752.0,4426.0,1960264,940976,2083225,Europe
Botswana,305526,0,2686,0,302476.0,0.0,364.0,1,125515.0,1103.0,2026898,832679,2434188,Africa
Albania,273608,0,3492,0,269653.0,0.0,463.0,13,95256.0,1216.0,1776780,618585,2872330,Europe
Algeria,265671,9,6874,0,178288.0,7.0,80509.0,5,5874.0,152.0,230861,5104,45228033,Africa
Nigeria,255415,0,3142,0,249606.0,0.0,2667.0,11,1188.0,15.0,4841764,22518,215021345,Africa
Zimbabwe,246182,0,5440,0,238030.0,0.0,2712.0,12,16154.0,357.0,2185767,143430,15239236,Africa
Uzbekistan,237749,39,1637,0,235593.0,34.0,519.0,23,6929.0,48.0,1377915,40157,34312853,Asia
Montenegro,233010,0,2702,0,229711.0,0.0,597.0,6,370915.0,4301.0,1209418,1925199,628204,Europe
Mozambique,225249,0,2200,0,222998.0,0.0,51.0,13,6872.0,67.0,1295834,39534,32777445,Africa
Luxembourg,215831,1732,1036,1,195089.0,1414.0,19706.0,4,335303.0,1609.0,4161616,6465259,643689,Europe
Kyrgyzstan,200935,12,2988,0,196213.0,7.0,1734.0,131,29939.0,445.0,1907195,284173,6711391,Asia
Iceland,181391,440,101,3,75685.0,0.0,105605.0,3,525625.0,293.0,1883373,5457534,345096,Europe
Afghanistan,177747,31,7670,3,161011.0,74.0,9066.0,1124,4394.0,190.0,921728,22785,40452581,Asia
Maldives,176993,0,298,0,163687.0,0.0,13008.0,25,317704.0,535.0,2213831,3973849,557100,Asia
Laos,176898,2762,665,1,7660.0,0.0,168573.0,0,23715.0,89.0,1023002,137147,7459184,Asia
Uganda,163905,13,3595,0,100167.0,0.0,60143.0,2,3397.0,75.0,2555603,52964,48251357,Africa
El Salvador,161052,0,4118,0,141145.0,0.0,15789.0,45,24614.0,629.0,1847861,282412,6543143,North America
Ghana,160925,0,1445,0,159409.0,0.0,71.0,1,4998.0,45.0,2410734,74866,32200709,Africa
Namibia,157622,0,4019,0,153069.0,0.0,534.0,3,60140.0,1533.0,982245,374770,2620925,Africa
Martinique,141415,0,909,0,104.0,0.0,140402.0,8,377349.0,2426.0,807954,2155930,374759,North America
Trinidad and Tobago,137757,0,3746,0,126980.0,0.0,7031.0,18,97882.0,2662.0,673601,478623,1407372,North America
Cambodia,135625,40,3054,0,131706.0,108.0,865.0,0,7921.0,178.0,2924126,170788,17121412,Asia
Brunei,134412,686,208,0,129230.0,1260.0,4974.0,7,302208.0,468.0,717784,1613846,444766,Asia
Guadeloupe,130705,0,843,0,2250.0,0.0,127612.0,19,326564.0,2106.0,938039,2343674,400243,North America
Rwanda,129718,0,1458,0,45522.0,0.0,82738.0,0,9601.0,108.0,5102965,377708,13510361,Africa
Jamaica,128735,0,2884,0,81052.0,0.0,44799.0,0,43147.0,967.0,924184,309749,2983653,North America
Cameroon,119544,0,1927,0,117455.0,0.0,162.0,13,4317.0,70.0,1751774,63253,27694561,Africa
Angola,99138,0,1900,0,97120.0,0.0,118.0,0,2862.0,55.0,1494119,43129,34642986,Africa
DRC,86748,0,1337,0,50930.0,0.0,34481.0,0,920.0,14.0,846704,8979,94293452,Africa
Senegal,85895,9,1964,0,83897.0,8.0,34.0,0,4905.0,112.0,1044489,59648,17510912,Africa
Malawi,85631,0,2626,0,80227.0,0.0,2778.0,67,4284.0,131.0,561333,28082,19989233,Africa
Ivory Coast,81722,0,796,0,80909.0,0.0,17.0,0,2970.0,29.0,1470274,53438,27513793,Africa
Malta,79539,760,638,0,72865.0,303.0,6036.0,4,179308.0,1438.0,1804777,4068579,443589,Europe
Suriname,79202,14,1324,0,49377.0,0.0,28501.0,0,132939.0,2222.0,235304,394954,595776,South America
French Guiana,78649,0,394,0,11254.0,0.0,67001.0,4,251968.0,1262.0,609252,1951861,312139,South America
French Polynesia,72195,0,646,0,,,,7,254447.0,2277.0,0,0,283733,Australia/Oceania
Eswatini,69723,0,1394,0,68268.0,0.0,61.0,11,59034.0,1180.0,1000792,847368,1181060,Africa
Channel Islands,68613,0,156,0,64012.0,0.0,4445.0,0,388410.0,883.0,1243253,7037905,176651,Europe
Fiji,64404,0,834,0,62600.0,0.0,970.0,0,70949.0,919.0,504823,556128,907746,Australia/Oceania
Madagascar,64009,0,1384,0,59280.0,0.0,3345.0,19,2213.0,48.0,410717,14198,28928480,Africa
Guyana,63246,0,1226,0,61949.0,0.0,71.0,3,79740.0,1546.0,567141,715044,793155,South America
Sudan,61929,0,4905,0,,,,0,1357.0,107.0,562941,12337,45629166,Africa
New Caledonia,60277,15,311,0,59638.0,7.0,328.0,9,207657.0,1071.0,98964,340935,290272,Australia/Oceania
Barbados,59080,0,374,0,57526.0,0.0,1180.0,0,205148.0,1299.0,611269,2122558,287987,North America
Mauritania,58668,0,982,0,57679.0,0.0,7.0,0,12066.0,202.0,779912,160406,4862103,Africa
Belize,57277,0,654,0,56318.0,0.0,305.0,6,139638.0,1594.0,521962,1272516,410181,North America
Cabo Verde,55950,0,401,0,55491.0,0.0,58.0,23,98766.0,708.0,400982,707835,566491,Africa
Syria,55688,0,3140,0,51576.0,0.0,972.0,0,3053.0,172.0,146269,8019,18239721,Asia
Gabon,47584,0,303,0,47265.0,0.0,16.0,0,20537.0,131.0,1588441,685549,2317036,Africa
Papua New Guinea,42203,0,640,0,39905.0,0.0,1658.0,7,4567.0,69.0,249149,26959,9241735,Australia/Oceania
Seychelles,40421,0,164,0,39790.0,0.0,467.0,0,406625.0,1650.0,0,0,99406,Africa
